create_timestamp,modify_timestamp,job_id,task_id,instance_num,status_task,plan_cpu,plan_mem,start_timestamp,end_timestamp,machineID,status_instance,seq_no,total_seq_no,real_cpu_max,real_cpu_avg,real_mem_max,real_mem_avg
37501,37510,11499,70071,9,Running,50.0,0.0160070406129474,37501,37510,1258.0,Running,1,1,,,,
37501,37510,11499,70074,17,Running,50.0,0.0160070406129474,37501,37510,1149.0,Running,1,1,,,,
44172,44219,11560,70416,261,Running,50.0,0.0079517510936246,44172,44219,453.0,Running,1,1,,,,
47266,47339,11593,70544,13,Running,50.0,0.0080501125980379,47266,47339,795.0,Running,1,1,,,,
47266,47339,11593,70543,75,Running,50.0,0.008158827945021,47266,47339,807.0,Running,1,1,,,,
47735,47776,11600,70580,531,Running,50.0,0.0160070406129474,47735,47776,255.0,Running,1,1,,,,
47735,47776,11600,70577,511,Running,50.0,0.0086972277586519,47735,47776,678.0,Running,1,1,,,,
47735,47776,11600,70578,5,Running,50.0,0.0133564569150726,47736,47776,777.0,Running,1,1,,,,
51710,51790,11660,70837,210,Running,100.0,0.0054047058214479,0,0,,Ready,2,2,,,,
51722,51854,11681,70984,210,Running,100.0,0.0054047058214479,0,0,,Ready,2,2,,,,
633,741,11824,72409,145,Running,50.0,0.0084176740092666,642,741,669.0,Running,1,1,,,,
640,735,11826,72412,45,Running,50.0,0.0160070406129474,642,735,1308.0,Running,1,1,,,,
25315,25519,11887,72787,357,Running,50.0,0.0133564569150726,25321,25519,21.0,Running,1,1,,,,
25315,25519,11887,72782,59,Running,50.0,0.0107058732171977,25321,25519,1037.0,Running,1,1,,,,
25315,25519,11887,72794,71,Running,50.0,0.0107058732171977,25320,25519,1155.0,Running,1,1,,,,
25315,25519,11887,72784,347,Running,50.0,0.0133564569150726,25320,25519,347.0,Running,1,1,,,,
25315,25519,11887,72781,59,Running,50.0,0.0107058732171977,25321,25519,331.0,Running,1,1,,,,
25315,25519,11887,72795,119,Running,50.0,0.0107058732171977,25320,25519,139.0,Running,1,1,,,,
25315,25519,11887,72789,90,Running,50.0,0.0160070406129474,25321,25519,96.0,Running,1,1,,,,
25315,25519,11887,72783,213,Running,50.0,0.0107058732171977,25322,25519,827.0,Running,1,1,,,,
27903,28033,11898,72930,81,Running,50.0,0.009220096808428,27903,28033,1100.0,Running,1,1,,,,
27903,28033,11898,72915,51,Running,50.0,0.0080708202831775,27903,28033,453.0,Running,1,1,,,,
8464,8671,12081,74662,3,Running,100.0,0.0054047058214479,8464,8671,1292.0,Running,1,1,,,,
8464,8671,12081,74667,3,Running,100.0,0.0054047058214479,8464,8671,13.0,Running,1,1,,,,
8464,8671,12081,74666,1,Running,100.0,0.0054047058214479,8464,8671,542.0,Running,1,1,,,,
17078,17133,12106,74856,151,Running,50.0,0.0160070406129474,17078,17133,1163.0,Running,1,1,,,,
17078,17133,12106,74857,79,Running,50.0,0.0081122356534568,17078,17133,340.0,Running,1,1,,,,
17078,17133,12106,74860,9,Running,50.0,0.0087955892630652,17078,17133,510.0,Running,1,1,,,,
17078,17133,12106,74855,173,Running,50.0,0.0160070406129474,17078,17133,717.0,Running,1,1,,,,
17078,17133,12106,74850,123,Running,50.0,0.0160070406129474,17078,17133,939.0,Running,1,1,,,,
17078,17133,12106,74848,19,Running,50.0,0.0088991276887634,17078,17133,661.0,Running,1,1,,,,
17078,17133,12106,74851,14,Running,50.0,0.0090233737996013,17078,17133,727.0,Running,1,1,,,,
17209,17242,12109,74893,163,Running,50.0,0.0160070406129474,17209,17242,965.0,Running,1,1,,,,
17209,17242,12109,74897,9,Running,50.0,0.0080552895193228,17210,17242,940.0,Running,1,1,,,,
17209,17242,12109,74888,14,Running,50.0,0.0090854968550203,17210,17242,790.0,Running,1,1,,,,
17209,17242,12109,74892,179,Running,50.0,0.0160070406129474,17209,17242,909.0,Running,1,1,,,,
17209,17242,12109,74887,15,Running,50.0,0.0086040431755235,17209,17242,704.0,Running,1,1,,,,
17209,17242,12109,74890,9,Running,50.0,0.0133564569150726,17210,17242,418.0,Running,1,1,,,,
17209,17242,12109,74894,75,Running,50.0,0.0082675432920042,17209,17242,45.0,Running,1,1,,,,
17209,17242,12109,74891,15,Running,50.0,0.0160070406129474,17210,17242,138.0,Running,1,1,,,,
18182,18205,12116,74956,51,Running,100.0,0.0054047058214479,18182,18205,1291.0,Running,1,1,,,,
18182,18205,12116,74959,5,Running,100.0,0.0054047058214479,18182,18205,1153.0,Running,1,1,,,,
18182,18205,12116,74961,51,Running,100.0,0.0054047058214479,18182,18205,1068.0,Running,1,1,,,,
18883,19003,12118,74969,13,Running,100.0,0.0054047058214479,18883,19003,1000.0,Running,1,1,,,,
18883,19003,12118,74970,15,Running,100.0,0.0054047058214479,18883,19003,1062.0,Running,1,1,,,,
18883,19003,12118,74976,15,Running,100.0,0.0054047058214479,18883,19003,25.0,Running,1,1,,,,
18883,19003,12118,74975,13,Running,100.0,0.0054047058214479,18883,19003,126.0,Running,1,1,,,,
12454,0,12149,75247,2,Running,100.0,0.0027541221235731,12458,0,175.0,Running,1,1,,,,
7420,8021,12343,75945,224,Running,50.0,0.0081536510237361,7420,8021,103.0,Running,1,1,,,,
34057,34084,12703,79342,265,Running,50.0,0.0107058732171977,34057,34084,552.0,Running,1,1,,,,
21663,21665,48,279,13,Running,50.0,0.0079258664872,21664,21665,411.0,Running,1,1,,,,
21663,21665,48,282,106,Running,50.0,0.0160070406129474,21664,21665,344.0,Running,1,1,,,,
21663,21665,48,281,182,Running,50.0,0.0160070406129474,21664,21665,252.0,Running,1,1,,,,
21663,21665,48,285,1,Running,50.0,0.0054047058214479,21663,21665,425.0,Running,1,1,,,,
34535,34544,156,894,1,Running,50.0,0.0160070406129474,34536,34544,547.0,Running,1,1,,,,
34535,34544,156,897,9,Running,50.0,0.0079465741723397,34535,34544,237.0,Running,1,1,,,,
34535,34544,156,892,69,Running,50.0,0.0133564569150726,34535,34544,265.0,Running,1,1,,,,
34535,34544,156,896,291,Running,50.0,0.008396966324127,34535,34544,969.0,Running,1,1,,,,
34535,34544,156,893,53,Running,50.0,0.0081950663940154,34535,34544,604.0,Running,1,1,,,,
51889,0,204,1126,16,Running,100.0,0.0027541221235731,51910,0,1018.0,Running,1,1,,,,
25019,25118,354,1807,363,Running,50.0,0.008572981647814,25020,25118,158.0,Running,1,1,,,,
13839,13913,408,2122,152,Running,50.0,0.0107058732171977,13840,13913,406.0,Running,1,1,,,,
13839,13913,408,2124,267,Running,50.0,0.0107058732171977,13840,13913,375.0,Running,1,1,,,,
15173,0,412,2139,8,Running,100.0,0.0027541221235731,0,0,,Ready,2,2,,,,
35904,36119,449,2306,285,Running,50.0,0.0082157740791551,35904,36119,599.0,Running,1,1,,,,
35904,36119,449,2305,283,Running,50.0,0.0106178655553542,35905,36119,803.0,Running,1,1,,,,
35904,36119,449,2308,267,Running,50.0,0.009748142779489,35905,36119,811.0,Running,1,1,,,,
9204,9805,460,2370,773,Running,65.0,0.0087541738927859,9209,9805,103.0,Running,1,1,,,,
9204,9805,460,2371,289,Running,55.0,0.0160070406129474,9208,9805,1189.0,Running,1,1,,,,
9204,9805,460,2372,239,Running,65.0,0.0160070406129474,9208,9805,401.0,Running,1,1,,,,
18730,18980,466,2401,289,Running,55.0,0.0160070406129474,18731,18980,1295.0,Running,1,1,,,,
18730,18980,466,2402,239,Running,65.0,0.0160070406129474,18731,18980,147.0,Running,1,1,,,,
